Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"startApplication(""/Users/vibhakarsaraswat/Documents/devlernings/apks_and_ipas/Android-APKs/com.getdreams_2019-01-14.apk"", true)",,,2019-01-23 21:47:56,2019-01-23 21:48:20,24.049s,PASSED
delay(15),,,2019-01-23 21:48:20,2019-01-23 21:48:35,15.004s,PASSED
"tap(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen03_TheAppMake/android.widget.Button0 - NEXT""), 10)",,,2019-01-23 21:48:35,2019-01-23 21:48:37,1.573s,PASSED
"tap(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen04_SaveAloneOr/android.widget.Button0 - NEXT""), 10)",,,2019-01-23 21:48:37,2019-01-23 21:48:38,1.681s,PASSED
"verifyElementText(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen04_SaveAloneOr/android.widget.TextView0 - Save alone or with friends for group dreams""), ""Save alone or with friends for group dreams"")",,,2019-01-23 21:48:38,2019-01-23 21:48:39,0.532s,PASSED
"verifyElementVisible(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen04_SaveAloneOr/android.widget.ImageView0""), 5, CONTINUE_ON_FAILURE)",,,2019-01-23 21:48:39,2019-01-23 21:48:39,0.403s,PASSED
"verifyElementVisible(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen04_SaveAloneOr/android.widget.ImageView1""), 5, CONTINUE_ON_FAILURE)",,,2019-01-23 21:48:39,2019-01-23 21:48:40,0.444s,PASSED
"verifyElementVisible(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen04_SaveAloneOr/android.widget.ImageView2""), 5, CONTINUE_ON_FAILURE)",,,2019-01-23 21:48:40,2019-01-23 21:48:40,0.360s,PASSED
"verifyElementVisible(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen04_SaveAloneOr/android.widget.ImageView3""), 5, CONTINUE_ON_FAILURE)",,,2019-01-23 21:48:40,2019-01-23 21:48:41,0.410s,PASSED
"verifyElementVisible(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen04_SaveAloneOr/android.widget.ImageView4""), 5, CONTINUE_ON_FAILURE)",,,2019-01-23 21:48:41,2019-01-23 21:48:41,0.325s,PASSED
"verifyElementVisible(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen04_SaveAloneOr/android.widget.ImageView6""), 5, CONTINUE_ON_FAILURE)",,,2019-01-23 21:48:41,2019-01-23 21:48:41,0.409s,PASSED
"tap(findTestObject(""ORF_LauncherActivity/ORF_LauncherActivity_Screen02_DreamsHelpYou/android.widget.Button0 - NEXT""), 10)",,,2019-01-23 21:48:41,2019-01-23 21:48:45,3.632s,PASSED
